distance,calories,speed,time
1164.2,1165.2,1163.2,0:0:0.07
1164.2,1165.2,1163.2,0:0:0.14
1164.2,1165.2,1163.2,0:0:0.22
1183.8,1184.8,1182.8,0:0:0.29
1213.1,1214.1,1212.1,0:0:0.37
1174.0,1175.0,1173.0,0:0:0.45
949.2,950.2,948.2,0:0:0.55
313.8,314.8,312.8,0:0:0.62
284.5,285.5,283.5,0:0:0.70
1.0,2.0,0.0,0:0:0.77
1.0,2.0,0.0,0:0:0.85
1.0,2.0,0.0,0:0:0.92
79.2,80.2,78.2,0:0:1.00
1.0,2.0,0.0,0:0:1.08
10.8,11.8,9.8,0:0:1.15
333.4,334.4,332.4,0:0:1.26
1017.6,1018.6,1016.6,0:0:1.33
2337.3,2338.3,2336.3,0:0:1.43
3060.6,3061.6,3059.6,0:0:1.50
3422.3,3423.3,3421.3,0:0:1.61
3784.0,3785.0,3783.0,0:0:1.68
4047.9,4048.9,4046.9,0:0:1.78
4595.3,4596.3,4594.3,0:0:1.88
5005.9,5006.9,5004.9,0:0:1.99
5162.3,5163.3,5161.3,0:0:2.09
5289.4,5290.4,5288.4,0:0:2.18
5465.3,5466.3,5464.3,0:0:2.30
5465.3,5466.3,5464.3,0:0:2.38
5465.3,5466.3,5464.3,0:0:2.46
5465.3,5466.3,5464.3,0:0:2.56
5465.3,5466.3,5464.3,0:0:2.66
5475.1,5476.1,5474.1,0:0:2.76
5465.3,5466.3,5464.3,0:0:2.86
5983.4,5984.4,5982.4,0:0:2.96
8388.1,8389.1,8387.1,0:0:3.06
9082.1,9083.1,9081.1,0:0:3.16
9131.0,9132.0,9130.0,0:0:3.26
9267.9,9268.9,9266.9,0:0:3.36
9307.0,9308.0,9306.0,0:0:3.43
9561.1,9562.1,9560.1,0:0:3.54
9629.5,9630.5,9628.5,0:0:3.64
9658.9,9659.9,9657.9,0:0:3.74
9678.4,9679.4,9677.4,0:0:3.84
9561.1,9562.1,9560.1,0:0:3.94
8867.1,8868.1,8866.1,0:0:4.03
8788.9,8789.9,8787.9,0:0:4.11
8280.6,8281.6,8279.6,0:0:4.18
7117.3,7118.3,7116.3,0:0:4.29
6345.1,6346.1,6344.1,0:0:4.39
4223.9,4224.9,4222.9,0:0:4.49
4223.9,4224.9,4222.9,0:0:4.59
4233.6,4234.6,4232.6,0:0:4.69
4214.1,4215.1,4213.1,0:0:4.80
4223.9,4224.9,4222.9,0:0:4.88
4214.1,4215.1,4213.1,0:0:4.99
4214.1,4215.1,4213.1,0:0:5.06
4223.9,4224.9,4222.9,0:0:5.16
4390.1,4391.1,4389.1,0:0:5.28
5201.4,5202.4,5200.4,0:0:5.39
5494.6,5495.6,5493.6,0:0:5.50
7000.0,7001.0,6999.0,0:0:5.58
8182.8,8183.8,8181.8,0:0:5.66
8202.4,8203.4,8201.4,0:0:5.77
8202.4,8203.4,8201.4,0:0:5.87
8212.1,8213.1,8211.1,0:0:5.97
8212.1,8213.1,8211.1,0:0:6.07
8212.1,8213.1,8211.1,0:0:6.16
8221.9,8222.9,8220.9,0:0:6.24
8182.8,8183.8,8181.8,0:0:6.32
8192.6,8193.6,8191.6,0:0:6.41
8182.8,8183.8,8181.8,0:0:6.51
8212.1,8213.1,8211.1,0:0:6.61
8192.6,8193.6,8191.6,0:0:6.71
8192.6,8193.6,8191.6,0:0:6.81
8192.6,8193.6,8191.6,0:0:6.91
8192.6,8193.6,8191.6,0:0:6.99
8212.1,8213.1,8211.1,0:0:7.09
8192.6,8193.6,8191.6,0:0:7.19
8182.8,8183.8,8181.8,0:0:7.29
8192.6,8193.6,8191.6,0:0:7.39
8212.1,8213.1,8211.1,0:0:7.49
8192.6,8193.6,8191.6,0:0:7.59
8192.6,8193.6,8191.6,0:0:7.72
8192.6,8193.6,8191.6,0:0:7.82
8221.9,8222.9,8220.9,0:0:7.91
8221.9,8222.9,8220.9,0:0:8.02
8192.6,8193.6,8191.6,0:0:8.12
8192.6,8193.6,8191.6,0:0:8.24
8212.1,8213.1,8211.1,0:0:8.35
8202.4,8203.4,8201.4,0:0:8.43
