speed,met1,met2,time
3920.8,3921.8,3919.8,0:0:0.03
3549.4,3921.8,3548.4,0:0:0.08
3549.4,3550.4,3958.9,0:0:0.12
3959.9,3960.9,3958.9,0:0:0.17
3568.9,3960.9,3567.9,0:0:0.22
3568.9,3569.9,3567.9,0:0:0.25
3568.9,3569.9,3900.3,0:0:0.27
3901.3,3569.9,3900.3,0:0:0.30
3549.4,3902.3,3548.4,0:0:0.37
3549.4,3550.4,3548.4,0:0:0.40
3549.4,3550.4,3861.2,0:0:0.42
3862.2,3550.4,3861.2,0:0:0.45
3862.2,3863.2,3558.2,0:0:0.50
3559.2,3560.2,3558.2,0:0:0.55
3559.2,3560.2,3812.3,0:0:0.57
3813.3,3814.3,3812.3,0:0:0.62
3559.2,3560.2,4056.7,0:0:0.71
4057.7,4058.7,3900.3,0:0:0.78
3901.3,3902.3,3567.9,0:0:0.85
3568.9,3902.3,3567.9,0:0:0.87
3568.9,3569.9,3724.3,0:0:0.92
3725.3,3726.3,3988.3,0:0:0.99
3989.3,3726.3,3988.3,0:0:1.02
3549.4,3990.3,3548.4,0:0:1.09
3578.7,3550.4,3577.7,0:0:1.15
3568.9,3579.7,3567.9,0:0:1.22
3568.9,3569.9,3567.9,0:0:1.25
4047.9,3569.9,4046.9,0:0:1.30
3637.4,4048.9,3636.4,0:0:1.37
3637.4,3638.4,3636.4,0:0:1.39
3568.9,3569.9,3567.9,0:0:1.46
3969.7,3970.7,3968.7,0:0:1.53
4018.6,4019.6,4017.6,0:0:1.60
4028.4,4029.4,4027.4,0:0:1.67
4028.4,4029.4,3714.6,0:0:1.69
3715.6,3716.6,3558.2,0:0:1.76
3559.2,3560.2,3577.7,0:0:1.83
3578.7,3579.7,3597.3,0:0:1.90
3568.9,3599.3,3567.9,0:0:1.99
3862.2,3569.9,3861.2,0:0:2.06
4028.4,3863.2,4027.4,0:0:2.13
4028.4,4029.4,4027.4,0:0:2.15
3568.9,4029.4,3567.9,0:0:2.20
3568.9,3569.9,3567.9,0:0:2.23
3568.9,3569.9,3998.0,0:0:2.26
4008.8,4009.8,4007.8,0:0:2.37
4008.8,4009.8,3919.8,0:0:2.39
3920.8,4009.8,3919.8,0:0:2.42
3481.0,3482.0,3480.0,0:0:2.51
3481.0,3482.0,3655.9,0:0:2.54
3656.9,3482.0,3655.9,0:0:2.57
3656.9,3657.9,3577.7,0:0:2.61
3578.7,3579.7,3577.7,0:0:2.66
3578.7,3579.7,3626.6,0:0:2.69
3627.6,3579.7,3626.6,0:0:2.71
3627.6,3628.6,3646.1,0:0:2.76
3647.1,3628.6,3646.1,0:0:2.79
3647.1,3648.1,3646.1,0:0:2.82
3647.1,3648.1,4027.4,0:0:2.84
3666.7,4029.4,3665.7,0:0:2.93
3588.5,3667.7,3587.5,0:0:3.00
3588.5,3589.5,3587.5,0:0:3.03
3911.1,3912.1,3910.1,0:0:3.10
3999.0,4000.0,3998.0,0:0:3.17
3999.0,4000.0,4037.1,0:0:3.19
4038.1,4039.1,4037.1,0:0:3.24
3500.5,3501.5,3499.5,0:0:3.31
3500.5,3501.5,3616.8,0:0:3.40
3617.8,3618.8,3607.0,0:0:3.47
3608.0,3618.8,3607.0,0:0:3.49
3608.0,3609.0,4095.8,0:0:3.54
4096.8,4097.8,3929.6,0:0:3.61
3930.6,4097.8,3929.6,0:0:3.64
3930.6,3931.6,3489.7,0:0:3.69
3490.7,3931.6,3489.7,0:0:3.71
3490.7,3491.7,3958.9,0:0:3.76
3559.2,3960.9,3558.2,0:0:3.85
3588.5,3560.2,3587.5,0:0:3.92
3588.5,3589.5,3587.5,0:0:3.99
3578.7,3579.7,3577.7,0:0:4.08
3676.5,3677.5,3675.5,0:0:4.15
4038.1,4039.1,4037.1,0:0:4.21
4038.1,4039.1,4056.7,0:0:4.24
4057.7,4058.7,4056.7,0:0:4.29
4057.7,4058.7,3538.6,0:0:4.32
3539.6,3540.6,3558.2,0:0:4.39
3559.2,3560.2,3519.1,0:0:4.45
3520.1,3560.2,3519.1,0:0:4.48
3520.1,3521.1,3519.1,0:0:4.51
3520.1,3521.1,3577.7,0:0:4.53
3578.7,3579.7,3577.7,0:0:4.58
3578.7,3579.7,4134.9,0:0:4.61
4135.9,4136.9,3831.9,0:0:4.68
3832.9,4136.9,3831.9,0:0:4.70
3832.9,3833.9,3831.9,0:0:4.73
4047.9,3833.9,4046.9,0:0:4.78
4047.9,4048.9,3822.1,0:0:4.83
3823.1,3824.1,3538.6,0:0:4.90
3539.6,3540.6,3538.6,0:0:4.94
3754.7,3540.6,3753.7,0:0:4.99
3754.7,3755.7,3978.5,0:0:5.04
3979.5,3980.5,3978.5,0:0:5.09
3979.5,3980.5,3528.8,0:0:5.11
3529.8,3980.5,3528.8,0:0:5.14
3529.8,3530.8,3528.8,0:0:5.17
3529.8,3530.8,3558.2,0:0:5.20
3559.2,3560.2,3558.2,0:0:5.25
3559.2,3560.2,3958.9,0:0:5.28
3959.9,3560.2,3958.9,0:0:5.30
3959.9,3960.9,3958.9,0:0:5.33
3979.5,3960.9,3978.5,0:0:5.39
3490.7,3980.5,3489.7,0:0:5.45
