met1,met2,speed,time
4771.3,4772.3,4770.3,0:0:0.04
4526.9,4527.9,4525.9,0:0:0.14
4526.9,4527.9,4477.0,0:0:0.17
4751.7,4518.1,4750.7,0:0:0.30
4409.6,4410.6,4467.3,0:0:0.35
4654.0,4655.0,4613.9,0:0:0.41
4614.9,4655.0,4613.9,0:0:0.45
4614.9,4615.9,4613.9,0:0:0.49
4614.9,4615.9,4301.1,0:0:0.53
4302.1,4615.9,4301.1,0:0:0.57
4302.1,4303.1,4301.1,0:0:0.61
4302.1,4303.1,3998.0,0:0:0.65
3999.0,4303.1,3998.0,0:0:0.69
3999.0,4000.0,3998.0,0:0:0.73
3920.8,4000.0,3919.8,0:0:0.77
3920.8,3921.8,3919.8,0:0:0.81
3920.8,3921.8,3919.8,0:0:0.86
3920.8,3921.8,3968.7,0:0:0.90
3969.7,3921.8,3968.7,0:0:0.94
3969.7,3970.7,3968.7,0:0:0.98
3969.7,3970.7,4125.1,0:0:1.02
4126.1,3970.7,4125.1,0:0:1.06
4126.1,4127.1,4125.1,0:0:1.11
4126.1,4127.1,3861.2,0:0:1.14
3862.2,4127.1,3861.2,0:0:1.19
3862.2,3863.2,3861.2,0:0:1.23
3862.2,3863.2,3802.5,0:0:1.27
3803.5,3804.5,3802.5,0:0:1.35
3803.5,3804.5,3949.2,0:0:1.39
4243.4,4244.4,4242.4,0:0:1.45
4243.4,4244.4,4252.2,0:0:1.49
4253.2,4244.4,4252.2,0:0:1.53
4253.2,4254.2,4252.2,0:0:1.57
4253.2,4254.2,3910.1,0:0:1.61
3911.1,4254.2,3910.1,0:0:1.65
3911.1,3912.1,3910.1,0:0:1.69
3911.1,3912.1,3841.6,0:0:1.74
3842.6,3912.1,3841.6,0:0:1.78
3881.7,3843.6,3880.7,0:0:1.82
3881.7,3882.7,3880.7,0:0:1.86
3891.5,3892.5,3890.5,0:0:1.91
3891.5,3892.5,3958.9,0:0:1.95
3959.9,3892.5,3958.9,0:0:1.99
3959.9,3960.9,3958.9,0:0:2.03
3959.9,3960.9,4046.9,0:0:2.07
